PlayerName,Club,DistanceCovered(InKms),Goals,MinutestoGoalRatio,ShotsPerGame,AgentCharges,BMI,Cost,PreviousClubCost,Height,Weight,Score,LastName,FirstName,FullName,PlayerID
"Braund, Mr. Owen Harris",MUN,3.96,7.5,37.5,12.3,60,20.56,109.1,63.32,195.9,78.9,19.75,Braund,Mr. Owen Harris,Mr. Owen Harris Braund,Mr. Owen Harris Braund (MUN)
"Allen, Mr. William Henry",MUN,4.41,8.3,38.2,12.7,68,20.67,102.8,58.55,189.7,74.4,21.3,Allen,Mr. William Henry,Mr. William Henry Allen,Mr. William Henry Allen (MUN)
"Moran, Mr. James",MUN,4.14,5.0,36.4,11.6,21,21.86,104.6,55.36,177.8,69.1,19.88,Moran,Mr. James,Mr. James Moran,Mr. James Moran (MUN)
"McCarthy, Mr. Timothy J",MUN,4.11,5.3,37.3,12.6,69,21.88,126.4,57.18,185.0,74.9,23.66,McCarthy,Mr. Timothy J,Mr. Timothy J McCarthy,Mr. Timothy J McCarthy (MUN)
"Palsson, Master. Gosta Leonard",MUN,4.45,6.8,41.5,14.0,29,18.96,80.3,53.2,184.6,64.6,17.64,Palsson,Master. Gosta Leonard,Master. Gosta Leonard Palsson,Master. Gosta Leonard Palsson (MUN)
"Saundercock, Mr. William Henry",MUN,4.1,4.4,37.4,12.5,42,21.04,75.2,53.77,174.0,63.7,15.58,Saundercock,Mr. William Henry,Mr. William Henry Saundercock,Mr. William Henry Saundercock (MUN)
"Andersson, Mr. Anders Johan",MUN,4.31,5.3,39.6,12.8,73,21.69,87.2,60.17,186.2,75.2,19.99,Andersson,Mr. Anders Johan,Mr. Anders Johan Andersson,Mr. Anders Johan Andersson (MUN)
"Rice, Master. Eugene",MUN,4.42,5.7,39.9,13.2,44,20.62,97.9,48.33,173.8,62.3,22.43,Rice,Master. Eugene,Master. Eugene Rice,Master. Eugene Rice (MUN)
"Williams, Mr. Charles Eugene",MUN,4.3,8.9,41.1,13.5,41,22.64,75.1,54.57,171.4,66.5,17.95,Williams,Mr. Charles Eugene,Mr. Charles Eugene Williams,Mr. Charles Eugene Williams (MUN)
"Fynney, Mr. Joseph J",MUN,4.51,4.4,41.6,12.7,44,19.44,65.1,53.42,179.9,62.9,15.07,Fynney,Mr. Joseph J,Mr. Joseph J Fynney,Mr. Joseph J Fynney (MUN)
"Beesley, Mr. Lawrence",MUN,4.71,5.3,41.4,14.0,38,25.75,160.10000000000002,68.53,193.4,96.3,28.83,Beesley,Mr. Lawrence,Mr. Lawrence Beesley,Mr. Lawrence Beesley (MUN)
"Sloper, Mr. William Thompson",MUN,4.62,7.3,43.8,14.7,26,21.2,76.8,61.85,188.7,75.5,18.08,Sloper,Mr. William Thompson,Mr. William Thompson Sloper,Mr. William Thompson Sloper (MUN)
"Emir, Mr. Farred Chehab",MUN,4.35,7.8,41.4,14.1,30,22.03,117.8,48.32,169.1,63.0,23.3,Emir,Mr. Farred Chehab,Mr. Farred Chehab Emir,Mr. Farred Chehab Emir (MUN)
"Fortune, Mr. Charles Alexander",MUN,4.26,6.2,41.0,13.9,48,25.44,90.2,66.24,177.9,80.5,17.71,Fortune,Mr. Charles Alexander,Mr. Charles Alexander Fortune,Mr. Charles Alexander Fortune (MUN)
"Todoroff, Mr. Lalio",MUN,4.63,6.0,43.7,14.7,30,22.63,97.2,57.92,177.5,71.3,18.77,Todoroff,Mr. Lalio,Mr. Lalio Todoroff,Mr. Lalio Todoroff (MUN)
"Uruchurtu, Don. Manuel E",MUN,4.36,5.8,40.3,13.3,29,21.86,99.9,56.52,179.6,70.5,19.83,Uruchurtu,Don. Manuel E,Don. Manuel E Uruchurtu,Don. Manuel E Uruchurtu (MUN)
"Wheadon, Mr. Edward H",MUN,3.91,7.3,37.6,12.9,43,22.27,125.9,54.78,181.3,73.2,25.16,Wheadon,Mr. Edward H,Mr. Edward H Wheadon,Mr. Edward H Wheadon (MUN)
"Meyer, Mr. Edgar Joseph",MUN,4.51,8.3,43.7,14.7,34,21.27,69.9,56.31,179.7,68.7,18.04,Meyer,Mr. Edgar Joseph,Mr. Edgar Joseph Meyer,Mr. Edgar Joseph Meyer (MUN)
"Holverson, Mr. Alexander Oskar",MUN,4.37,8.1,41.8,14.3,53,23.47,98.0,62.96,185.2,80.5,21.79,Holverson,Mr. Alexander Oskar,Mr. Alexander Oskar Holverson,Mr. Alexander Oskar Holverson (MUN)
"Mamee, Mr. Hanna",MUN,4.9,6.9,44.0,14.5,59,23.19,96.8,56.68,177.3,72.9,22.25,Mamee,Mr. Hanna,Mr. Hanna Mamee,Mr. Hanna Mamee (MUN)
"Cann, Mr. Ernest Charles",MUN,4.46,5.7,39.2,13.0,43,23.17,80.3,62.39,179.3,74.5,16.25,Cann,Mr. Ernest Charles,Mr. Ernest Charles Cann,Mr. Ernest Charles Cann (MUN)
"Kraeff, Mr. Theodor",MUN,3.95,3.3,36.9,12.5,40,24.54,74.9,63.05,175.3,75.4,16.38,Kraeff,Mr. Theodor,Mr. Theodor Kraeff,Mr. Theodor Kraeff (MUN)
"Rogers, Mr. William John",MUN,4.46,9.5,41.5,14.5,92,22.96,83.0,56.05,174.0,69.5,19.35,Rogers,Mr. William John,Mr. William John Rogers,Mr. William John Rogers (MUN)
"Lennon, Mr. Denis",MUN,5.02,6.4,44.8,15.2,48,19.76,91.0,53.65,183.3,66.4,19.2,Lennon,Mr. Denis,Mr. Denis Lennon,Mr. Denis Lennon (MUN)
"Samaan, Mr. Youssef",MUN,4.26,5.8,41.2,14.1,77,23.36,76.2,65.45,184.7,79.7,17.89,Samaan,Mr. Youssef,Mr. Youssef Samaan,Mr. Youssef Samaan (MUN)
"Panula, Master. Juha Niilo",MUN,4.46,5.6,41.1,14.3,71,22.67,52.6,64.62,180.2,73.6,12.2,Panula,Master. Juha Niilo,Master. Juha Niilo Panula,Master. Juha Niilo Panula (MUN)
"Nosworthy, Mr. Richard Cater",MUN,4.16,5.8,39.8,13.3,37,24.24,111.1,60.05,180.2,78.7,23.7,Nosworthy,Mr. Richard Cater,Mr. Richard Cater Nosworthy,Mr. Richard Cater Nosworthy (MUN)
"Ostby, Mr. Engelhart Cornelius",MUN,4.49,7.6,41.8,14.4,71,24.21,110.7,56.48,176.0,75.0,24.69,Ostby,Mr. Engelhart Cornelius,Mr. Engelhart Cornelius Ostby,Mr. Engelhart Cornelius Ostby (MUN)
"Woolner, Mr. Hugh",MUN,4.21,7.5,38.4,13.2,73,20.46,74.7,41.54,156.0,49.8,16.58,Woolner,Mr. Hugh,Mr. Hugh Woolner,Mr. Hugh Woolner (MUN)
"Novel, Mr. Mansouer",MUN,4.57,6.6,42.8,14.5,85,20.81,113.5,52.78,179.7,67.2,21.47,Novel,Mr. Mansouer,Mr. Mansouer Novel,Mr. Mansouer Novel (MUN)
"Goodwin, Master. William Frederick",MUN,4.87,6.4,44.8,15.0,64,20.17,99.8,52.72,180.9,66.0,20.12,Goodwin,Master. William Frederick,Master. William Frederick Goodwin,Master. William Frederick Goodwin (MUN)
"Sirayanian, Mr. Orsen",MUN,4.44,10.1,42.7,14.0,19,23.06,80.3,61.29,179.5,74.3,17.51,Sirayanian,Mr. Orsen,Mr. Orsen Sirayanian,Mr. Orsen Sirayanian (MUN)
"Harris, Mr. Henry Birkhardt",MUN,4.45,6.6,42.6,14.1,39,24.4,109.5,59.59,178.9,78.1,23.7,Harris,Mr. Henry Birkhardt,Mr. Henry Birkhardt Harris,Mr. Henry Birkhardt Harris (MUN)
"Skoog, Master. Harald",MUN,4.41,5.9,41.1,13.5,41,23.97,123.6,61.7,182.1,79.5,22.39,Skoog,Master. Harald,Master. Harald Skoog,Master. Harald Skoog (MUN)
"Stewart, Mr. Albert A",MUN,4.87,7.3,44.1,14.8,13,22.62,91.2,62.46,186.3,78.5,20.43,Stewart,Mr. Albert A,Mr. Albert A Stewart,Mr. Albert A Stewart (MUN)
"Moubarek, Master. Gerios",MUN,4.56,13.3,42.2,13.6,20,19.16,49.0,53.14,176.8,59.9,11.29,Moubarek,Master. Gerios,Master. Gerios Moubarek,Master. Gerios Moubarek (MUN)
"Crease, Mr. Ernest James",MUN,4.15,6.0,38.0,12.7,59,21.15,110.2,47.09,172.6,63.0,25.26,Crease,Mr. Ernest James,Mr. Ernest James Crease,Mr. Ernest James Crease (MUN)
"Kink, Mr. Vincenz",MUN,4.16,7.6,37.5,12.3,22,21.4,89.0,53.44,176.0,66.3,19.39,Kink,Mr. Vincenz,Mr. Vincenz Kink,Mr. Vincenz Kink (MUN)
"Jenkin, Mr. Stephen Curnow",MUN,4.32,6.4,37.7,12.3,30,21.03,98.3,48.78,169.9,60.7,19.63,Jenkin,Mr. Stephen Curnow,Mr. Stephen Curnow Jenkin,Mr. Stephen Curnow Jenkin (MUN)
"Hood, Mr. Ambrose Jr",MUN,4.06,5.8,38.7,12.8,78,21.77,122.1,56.05,183.0,72.9,23.11,Hood,Mr. Ambrose Jr,Mr. Ambrose Jr Hood,Mr. Ambrose Jr Hood (MUN)
"Chronopoulos, Mr. Apostolos",MUN,4.12,6.1,36.6,11.8,21,21.38,90.4,56.45,178.2,67.9,16.86,Chronopoulos,Mr. Apostolos,Mr. Apostolos Chronopoulos,Mr. Apostolos Chronopoulos (MUN)
"Bing, Mr. Lee",MUN,4.17,5.0,37.4,12.7,109,21.47,106.9,53.11,177.3,67.5,21.32,Bing,Mr. Lee,Mr. Lee Bing,Mr. Lee Bing (MUN)
"Moen, Mr. Sigurd Hansen",MUN,3.8,6.6,36.5,12.4,102,24.45,156.6,54.41,174.1,74.1,26.57,Moen,Mr. Sigurd Hansen,Mr. Sigurd Hansen Moen,Mr. Sigurd Hansen Moen (MUN)
"Staneff, Mr. Ivan",MUN,3.96,5.5,36.3,12.4,71,22.63,101.1,55.97,173.6,68.2,17.93,Staneff,Mr. Ivan,Mr. Ivan Staneff,Mr. Ivan Staneff (MUN)
"Moutal, Mr. Rahamin Haim",MUN,4.44,9.7,41.4,14.1,64,22.8,126.4,51.62,173.7,68.8,24.97,Moutal,Mr. Rahamin Haim,Mr. Rahamin Haim Moutal,Mr. Rahamin Haim Moutal (MUN)
"Caldwell, Master. Alden Gates",MUN,4.27,10.6,37.7,12.5,68,23.58,114.0,58.27,178.7,75.3,22.62,Caldwell,Master. Alden Gates,Master. Alden Gates Caldwell,Master. Alden Gates Caldwell (MUN)
"Waelens, Mr. Achille",MUN,3.9,6.3,35.9,12.1,78,20.06,70.0,57.28,183.3,67.4,15.01,Waelens,Mr. Achille,Mr. Achille Waelens,Mr. Achille Waelens (MUN)
"Sheerlinck, Mr. Jan Baptist",MUN,4.02,9.1,37.7,12.7,107,23.01,77.0,57.3,174.4,70.0,18.14,Sheerlinck,Mr. Jan Baptist,Mr. Jan Baptist Sheerlinck,Mr. Jan Baptist Sheerlinck (MUN)
"Carrau, Mr. Francisco M",MUN,4.39,9.6,38.3,12.5,39,24.64,148.9,54.18,173.3,74.0,26.78,Carrau,Mr. Francisco M,Mr. Francisco M Carrau,Mr. Francisco M Carrau (MUN)
"Ford, Mr. William Neal",MUN,4.52,5.1,38.8,13.1,58,18.26,80.1,42.96,168.6,51.9,17.22,Ford,Mr. William Neal,Mr. William Neal Ford,Mr. William Neal Ford (MUN)
"Slocovski, Mr. Selman Francis",MUN,4.25,10.7,39.5,13.2,127,24.47,156.6,54.46,174.0,74.1,26.5,Slocovski,Mr. Selman Francis,Mr. Selman Francis Slocovski,Mr. Selman Francis Slocovski (MUN)
"Celotti, Mr. Francesco",MUN,4.46,10.9,39.7,13.7,102,23.99,115.9,57.2,176.0,74.3,23.01,Celotti,Mr. Francesco,Mr. Francesco Celotti,Mr. Francesco Celotti (MUN)
"Christmann, Mr. Emil",MUN,4.4,9.3,40.4,13.6,86,26.24,160.10000000000002,54.38,172.2,77.8,30.1,Christmann,Mr. Emil,Mr. Emil Christmann,Mr. Emil Christmann (MUN)
"Andreasson, Mr. Paul Edvin",MUN,4.83,8.4,41.8,13.4,40,20.04,71.6,57.58,182.7,66.9,13.93,Andreasson,Mr. Paul Edvin,Mr. Paul Edvin Andreasson,Mr. Paul Edvin Andreasson (MUN)
"Chaffee, Mr. Herbert Fuller",MUN,4.23,6.9,38.3,12.6,50,25.72,143.5,61.46,180.5,83.8,26.65,Chaffee,Mr. Herbert Fuller,Mr. Herbert Fuller Chaffee,Mr. Herbert Fuller Chaffee (MUN)
"Dean, Mr. Bertram Frank",MUN,4.24,8.4,37.6,12.5,58,25.64,160.10000000000002,53.46,179.8,82.9,35.52,Dean,Mr. Bertram Frank,Mr. Bertram Frank Dean,Mr. Bertram Frank Dean (MUN)
"Coxon, Mr. Daniel",MUN,3.95,6.6,38.4,12.8,33,19.87,68.9,54.11,179.6,64.1,15.59,Coxon,Mr. Daniel,Mr. Daniel Coxon,Mr. Daniel Coxon (MUN)
"Shorney, Mr. Charles Joseph",MUN,4.03,8.5,37.7,13.0,51,23.35,103.6,55.35,171.7,68.85,19.61,Shorney,Mr. Charles Joseph,Mr. Charles Joseph Shorney,Mr. Charles Joseph Shorney (MUN)
"Goldschmidt, Mr. George B",MUN,4.36,5.5,41.4,13.8,82,22.42,71.3,55.39,170.0,64.8,14.52,Goldschmidt,Mr. George B,Mr. George B Goldschmidt,Mr. George B Goldschmidt (MUN)
"Greenfield, Mr. William Bertram",CHE,4.07,5.9,39.5,13.3,25,20.42,54.6,52.23,170.0,59.0,11.47,Greenfield,Mr. William Bertram,Mr. William Bertram Greenfield,Mr. William Bertram Greenfield (CHE)
"Kantor, Mr. Sinai",CHE,4.17,4.9,38.9,12.9,86,22.13,88.2,59.33,180.5,72.1,17.71,Kantor,Mr. Sinai,Mr. Sinai Kantor,Mr. Sinai Kantor (CHE)
"Petroff, Mr. Pastcho (""Pentcho"")",CHE,4.23,8.1,38.2,12.7,22,25.17,95.4,61.63,173.3,75.6,18.48,Petroff,Mr. Pastcho Pentcho,Mr. Pastcho Pentcho Petroff,Mr. Pastcho Pentcho Petroff (CHE)
"White, Mr. Richard Frasar",CHE,4.46,8.3,42.2,14.4,30,23.72,47.5,63.39,173.5,71.4,11.22,White,Mr. Richard Frasar,Mr. Richard Frasar White,Mr. Richard Frasar White (CHE)
"Johansson, Mr. Gustaf Joel",CHE,4.38,5.8,42.0,14.0,27,21.28,55.6,60.22,181.0,69.7,13.61,Johansson,Mr. Gustaf Joel,Mr. Gustaf Joel Johansson,Mr. Gustaf Joel Johansson (CHE)
"Gustafsson, Mr. Anders Vilhelm",CHE,4.31,5.3,41.1,13.9,60,20.87,62.9,55.73,175.0,63.9,12.78,Gustafsson,Mr. Anders Vilhelm,Mr. Anders Vilhelm Gustafsson,Mr. Anders Vilhelm Gustafsson (CHE)
"Mionoff, Mr. Stoytcho",CHE,4.51,5.1,40.9,14.0,115,19.0,52.5,48.57,170.3,55.1,11.85,Mionoff,Mr. Stoytcho,Mr. Stoytcho Mionoff,Mr. Stoytcho Mionoff (CHE)
"Moss, Mr. Albert Johan",CHE,4.13,7.0,39.7,13.1,124,22.04,62.6,51.99,165.0,60.0,13.35,Moss,Mr. Albert Johan,Mr. Albert Johan Moss,Mr. Albert Johan Moss (CHE)
"Rekic, Mr. Tido",CHE,4.48,9.5,36.5,13.3,54,20.12,49.9,51.17,169.8,58.0,11.77,Rekic,Mr. Tido,Mr. Tido Rekic,Mr. Tido Rekic (CHE)
"Porter, Mr. Walter Chamberlain",CHE,5.31,9.5,47.1,15.9,29,21.35,57.9,57.54,174.1,64.7,11.07,Porter,Mr. Walter Chamberlain,Mr. Walter Chamberlain Porter,Mr. Walter Chamberlain Porter (CHE)
"Barton, Mr. David John",CHE,4.58,5.8,42.1,14.7,164,28.57,109.6,68.86,175.0,87.5,21.3,Barton,Mr. David John,Mr. David John Barton,Mr. David John Barton (CHE)
"Pekoniemi, Mr. Edvard",CHE,4.81,6.8,42.7,15.3,50,26.95,98.5,63.04,171.1,78.9,20.1,Pekoniemi,Mr. Edvard,Mr. Edvard Pekoniemi,Mr. Edvard Pekoniemi (CHE)
"Connors, Mr. Patrick",CHE,4.51,9.0,39.7,14.3,36,28.13,136.3,63.03,172.7,83.9,24.88,Connors,Mr. Patrick,Mr. Patrick Connors,Mr. Patrick Connors (CHE)
"Turpin, Mr. William John Robert",CHE,4.77,7.1,40.6,14.6,40,26.85,103.6,66.85,175.6,82.8,19.26,Turpin,Mr. William John Robert,Mr. William John Robert Turpin,Mr. William John Robert Turpin (CHE)
"Baxter, Mr. Quigg Edmond",CHE,5.33,9.3,47.0,15.0,62,25.27,102.8,59.89,171.6,74.4,19.51,Baxter,Mr. Quigg Edmond,Mr. Quigg Edmond Baxter,Mr. Quigg Edmond Baxter (CHE)
"Hickman, Mr. Stanley George",CHE,4.75,7.5,43.8,15.2,90,29.53875,131.9,72.98,172.3,94.8,23.01,Hickman,Mr. Stanley George,Mr. Stanley George Hickman,Mr. Stanley George Hickman (CHE)
"Moore, Mr. Leonard Charles",CHE,4.11,7.3,38.7,12.4,12,16.75,33.8,45.23,171.4,49.2,8.07,Moore,Mr. Leonard Charles,Mr. Leonard Charles Moore,Mr. Leonard Charles Moore (CHE)
"Nasser, Mr. Nicholas",CHE,4.76,7.6,42.9,13.4,36,19.54,43.5,55.06,178.0,61.9,11.05,Nasser,Mr. Nicholas,Mr. Nicholas Nasser,Mr. Nicholas Nasser (CHE)
"White, Mr. Percival Wayland",CHE,4.27,6.9,44.1,14.7,45,20.42,46.2,46.96,162.0,53.6,12.39,White,Mr. Percival Wayland,Mr. Percival Wayland White,Mr. Percival Wayland White (CHE)
"Nicola-Yarred, Master. Elias",CHE,4.44,6.1,42.6,13.9,43,22.76,73.9,53.54,167.3,63.7,15.95,Nicola-Yarred,Master. Elias,Master. Elias Nicola-Yarred,Master. Elias Nicola-Yarred (CHE)
"McMahon, Mr. Martin",CHE,4.2,6.5,39.1,13.0,51,20.12,36.8,47.57,162.0,52.8,9.91,McMahon,Mr. Martin,Mr. Martin McMahon,Mr. Martin McMahon (CHE)
"Madsen, Mr. Fridtjof Arne",CHE,4.71,6.9,43.5,13.8,22,22.35,67.0,54.63,170.8,65.2,16.2,Madsen,Mr. Fridtjof Arne,Mr. Fridtjof Arne Madsen,Mr. Fridtjof Arne Madsen (CHE)
"Ekstrom, Mr. Johan",CHE,4.09,6.4,40.1,13.2,44,19.16,41.1,46.31,163.0,50.9,9.02,Ekstrom,Mr. Johan,Mr. Johan Ekstrom,Mr. Johan Ekstrom (CHE)
"Drazenoic, Mr. Jozef",CHE,4.24,6.6,38.2,12.6,26,20.77,59.4,49.13,166.1,57.3,14.26,Drazenoic,Mr. Jozef,Mr. Jozef Drazenoic,Mr. Jozef Drazenoic (CHE)
"Coelho, Mr. Domingos Fernandeo",CHE,3.9,6.0,38.9,13.5,16,19.37,48.4,53.71,176.0,60.0,10.48,Coelho,Mr. Domingos Fernandeo,Mr. Domingos Fernandeo Coelho,Mr. Domingos Fernandeo Coelho (CHE)
"Sobey, Mr. Samuel James Hayden",CHE,4.82,7.6,43.2,14.4,58,22.37,50.0,53.11,163.9,60.1,11.64,Sobey,Mr. Samuel James Hayden,Mr. Samuel James Hayden Sobey,Mr. Samuel James Hayden Sobey (CHE)
"Richard, Mr. Emile",CHE,4.32,6.8,40.6,13.7,46,17.54,54.6,46.12,173.0,52.5,12.16,Richard,Mr. Emile,Mr. Emile Richard,Mr. Emile Richard (CHE)
"Futrelle, Mr. Jacques Heath",CHE,4.77,7.2,43.3,14.8,43,19.06,42.3,53.41,177.0,59.7,10.53,Futrelle,Mr. Jacques Heath,Mr. Jacques Heath Futrelle,Mr. Jacques Heath Futrelle (CHE)
"Osen, Mr. Olaf Elon",CHE,5.16,8.2,45.3,14.7,34,20.3,46.1,51.48,168.0,57.3,10.15,Osen,Mr. Olaf Elon,Mr. Olaf Elon Osen,Mr. Olaf Elon Osen (CHE)
"Giglio, Mr. Victor",CHE,4.97,7.8,44.7,14.2,41,20.15,46.3,53.2,172.0,59.6,10.74,Giglio,Mr. Victor,Mr. Victor Giglio,Mr. Victor Giglio (CHE)
"Burke, Mr. Jeremiah",CHE,4.0,4.2,36.6,12.0,57,25.36,109.0,56.58,167.9,71.5,20.86,Burke,Mr. Jeremiah,Mr. Jeremiah Burke,Mr. Jeremiah Burke (CHE)
"Andrew, Mr. Edgardo Samuel",CHE,4.4,4.0,40.8,13.9,73,22.12,98.1,56.01,177.5,69.7,19.64,Andrew,Mr. Edgardo Samuel,Mr. Edgardo Samuel Andrew,Mr. Edgardo Samuel Andrew (CHE)
"Nicholls, Mr. Joseph Charles",CHE,4.38,7.9,39.8,13.5,88,21.25,80.6,46.52,162.5,56.1,17.07,Nicholls,Mr. Joseph Charles,Mr. Joseph Charles Nicholls,Mr. Joseph Charles Nicholls (CHE)
"Andersson, Mr. August Edvard (""Wennerstrom"")",CHE,4.08,6.6,37.8,12.1,182,20.53,68.3,51.75,172.5,61.1,15.31,Andersson,Mr. August Edvard Wennerstrom,Mr. August Edvard Wennerstrom Andersson,Mr. August Edvard Wennerstrom Andersson (CHE)
"Navratil, Mr. Michel (""Louis M Hoffman"")",CHE,4.98,6.4,44.8,14.8,80,17.06,47.6,42.15,166.7,47.4,11.07,Navratil,Mr. Michel Louis M Hoffman,Mr. Michel Louis M Hoffman Navratil,Mr. Michel Louis M Hoffman Navratil (CHE)
"Byles, Rev. Thomas Roussel Davids",CHE,5.16,7.2,44.3,14.5,88,18.29,61.9,48.76,175.0,56.0,12.92,Byles,Rev. Thomas Roussel Davids,Rev. Thomas Roussel Davids Byles,Rev. Thomas Roussel Davids Byles (CHE)
"Bateman, Rev. Robert James",CHE,4.66,6.4,40.9,13.9,109,18.37,38.2,41.93,157.9,45.8,8.45,Bateman,Rev. Robert James,Rev. Robert James Bateman,Rev. Robert James Bateman (CHE)
"Meo, Mr. Alfonzo",CHE,4.19,9.0,39.0,13.4,69,18.93,43.5,42.95,158.9,47.8,10.16,Meo,Mr. Alfonzo,Mr. Alfonzo Meo,Mr. Alfonzo Meo (CHE)
"van Billiard, Mr. Austin Blyler",CHE,4.53,5.0,40.7,14.0,41,17.79,56.8,38.3,156.9,43.8,12.55,van Billiard,Mr. Austin Blyler,Mr. Austin Blyler van Billiard,Mr. Austin Blyler van Billiard (CHE)
